Event,StartRow,FailRow,EndRow,SlipDuration,Stiffness,NptsStiffness,StiffnessIntercept,FailTime,FailDisplacement,50_Mean_Velocity,Peak_Velocity
0,940776,943728,947743,4.020000,0.000014,2952,0.559872,2876.290000,8987.490000,7.886234,15.141265
1,947743,950241,954685,4.450000,0.000023,2498,0.480350,2882.800000,9052.730000,7.691591,14.075803
2,954685,957826,961579,3.750000,0.000025,3141,0.464712,2890.390000,9128.460000,7.672449,14.150476
3,961579,964840,968600,3.760000,0.000029,1013,0.423256,2897.400000,9198.480000,7.244469,13.426574
4,968600,971775,975724,3.950000,0.000025,3175,0.456049,2904.340000,9267.640000,7.724463,15.972329
5,975724,977828,981738,3.910000,0.000047,1102,0.249178,2910.390000,9328.220000,8.148301,15.249603
6,981738,984884,988723,3.840000,0.000026,3146,0.442459,2917.450000,9398.600000,7.980072,12.829326
7,988723,991307,995330,4.020000,0.000031,2583,0.393287,2923.870000,9462.690000,7.387712,13.276800
8,995330,997805,1001067,3.260000,0.000049,2475,0.216264,2930.370000,9527.630000,8.034187,13.907440
9,1001067,1005358,1007987,2.630000,0.000032,4001,0.380110,2937.920000,9602.980000,7.970192,14.159198
10,1007987,1011442,1015022,3.580000,0.000032,3455,0.377144,2944.000000,9663.930000,7.315267,13.275112
11,1015022,1018198,1021970,3.770000,0.000041,3175,0.288990,2950.760000,9731.120000,7.244362,13.383976
12,1021970,1025176,1028406,3.230000,0.000074,2622,-0.038484,2957.740000,9800.720000,7.187039,15.464251
13,1028406,1032118,1034512,2.390000,0.000091,3185,-0.211964,2964.680000,9869.950000,6.440866,15.996664
14,1034512,1038872,1041147,2.280000,0.000111,4359,-0.414673,2971.430000,9937.350000,5.830928,15.341012
15,1041147,1045675,1048031,2.350000,0.000149,4238,-0.800493,2978.240000,10005.300000,6.181291,20.508078
16,1048031,1052774,1054899,2.120000,0.000192,3878,-1.251490,2985.340000,10076.000000,5.069757,25.143123
17,1054899,1059997,1061885,1.890000,0.000236,3625,-1.709232,2992.560000,10148.100000,5.052407,30.946936
18,1061885,1067294,1069284,1.990000,0.000253,4126,-1.899827,2999.860000,10220.600000,3.688489,38.025644
19,1069284,1075101,1076920,1.820000,0.000260,4414,-1.991034,3007.660000,10298.500000,3.890947,42.620040
20,1076920,1082812,1084473,1.670000,0.000285,3647,-2.269329,3015.370000,10375.300000,4.460904,66.592154
21,1084473,1091236,1092922,1.680000,0.000314,3756,-2.590729,3023.800000,10459.000000,3.465500,57.653830
22,1092922,1099429,1100965,1.540000,0.000302,3526,-2.488755,3031.990000,10538.700000,3.902981,84.287060
23,1100965,1108005,1109254,1.250000,0.000328,3952,-2.787048,3040.570000,10623.900000,2.864791,157.207500
24,1109254,1116574,1118132,1.550000,0.000340,3988,-2.942951,3049.140000,10709.300000,4.543139,125.594918
25,1118132,1125210,1126585,1.380000,0.000340,3462,-2.979050,3057.770000,10795.700000,3.883773,180.283766
26,1126585,1134150,1135498,1.350000,0.000356,3863,-3.176727,3066.710000,10884.600000,3.502460,275.634680
27,1135498,1144453,1146060,1.600000,0.000379,3031,-3.460392,3077.020000,10987.600000,3.415198,63.584011
28,1146060,1152082,1153163,1.090000,0.000297,4029,-2.591366,3084.640000,11063.700000,3.798108,238.139201
29,1153163,1161179,1162243,1.070000,0.000387,3006,-3.615957,3093.740000,11154.400000,3.114064,442.394984
30,1162243,1170688,1172005,1.320000,0.000400,3138,-3.801675,3103.250000,11248.900000,3.196345,314.577634
31,1172005,1179783,1181031,1.240000,0.000382,3310,-3.636766,3112.350000,11339.800000,3.162627,410.348369
32,1181031,1189245,1190256,1.010000,0.000392,3472,-3.788401,3121.810000,11434.300000,2.534295,825.399156
33,1190256,1199466,1200695,1.230000,0.000436,2776,-4.326706,3132.030000,11536.100000,3.005308,614.591909
34,1200695,1209341,1210642,1.300000,0.000422,2365,-4.206604,3141.900000,11634.600000,2.981643,489.947214
35,1210642,1219153,1220207,1.050000,0.000407,3115,-4.074791,3151.720000,11732.500000,3.184048,671.407091
36,1220207,1229213,1230307,1.090000,0.000427,3239,-4.347079,3161.780000,11832.900000,3.304182,632.017641
37,1230307,1239064,1240235,1.170000,0.000419,3291,-4.303709,3171.630000,11931.200000,3.182952,760.718696
38,1240235,1249190,1250131,0.940000,0.000436,2741,-4.550468,3181.750000,12032.300000,2.896518,689.941552
39,1250131,1258824,1259740,0.910000,0.000423,2943,-4.431783,3191.390000,12128.400000,2.824665,948.594858
40,1259740,1269082,1270070,0.990000,0.000444,2494,-4.734983,3201.640000,12230.800000,1.968929,748.979520
41,1270070,1278977,1279951,0.970000,0.000430,2850,-4.599124,3211.540000,12329.500000,3.458079,690.718348
42,1279951,1288614,1289648,1.030000,0.000416,3431,-4.471640,3221.180000,12425.600000,2.645386,800.381218
43,1289648,1298434,1299324,0.890000,0.000431,3256,-4.699851,3231.000000,12523.800000,1.738483,941.487972
44,1299324,1308703,1309705,1.000000,0.000431,4101,-4.745234,3241.270000,12626.000000,2.325609,572.881257
45,1309705,1317843,1318712,0.860000,0.000416,3037,-4.589404,3250.410000,12717.600000,3.184573,826.924147
46,1318712,1327801,1328720,0.920000,0.000445,2734,-4.999625,3260.360000,12816.900000,2.918233,873.111129
47,1328720,1337675,1338659,0.980000,0.000434,3387,-4.909402,3270.240000,12915.300000,2.860979,781.098099
48,1338659,1347344,1348430,1.080000,0.000432,3218,-4.921679,3279.910000,13011.900000,3.120039,819.962846
49,1348430,1357456,1358337,0.880000,0.000444,2762,-5.120362,3290.020000,13112.900000,3.180564,728.424154
50,1358337,1367124,1368013,0.890000,0.000439,2915,-5.106307,3299.690000,13209.200000,2.792291,979.528130
51,1368013,1377119,1378172,1.050000,0.000441,3412,-5.169200,3309.680000,13309.000000,3.370106,868.211582
52,1378172,1387178,1387888,0.710000,0.000471,1867,-5.608811,3319.740000,13409.300000,2.979517,917.127004
53,1387888,1397096,1397816,0.720000,0.000455,2741,-5.450194,3329.660000,13508.300000,2.519777,865.574629
54,1397816,1406471,1407335,0.870000,0.000428,3400,-5.130105,3339.030000,13602.000000,0.686765,1062.920358
55,1407335,1416694,1417425,0.730000,0.000448,2946,-5.445082,3349.260000,13703.800000,1.117124,1099.206664
56,1417425,1426684,1427570,0.880000,0.000461,2575,-5.661094,3359.250000,13803.600000,0.453930,1071.986205
57,1427570,1436766,1437690,0.920000,0.000434,4136,-5.337219,3369.330000,13904.100000,4.047803,978.077966
58,1437690,1447002,1447732,0.730000,0.000458,2405,-5.708390,3379.560000,14006.100000,4.693176,1116.184658
59,1447732,1538202,1546888,8.690000,0.000475,2410,-5.999990,3470.760000,14135.600000,2.785322,1208.056083
60,1546888,1555477,1556005,0.530000,0.000444,4159,-5.662838,3488.040000,14307.900000,2.105990,1416.148209
61,1556005,1565250,1565957,0.710000,0.000454,4067,-5.841338,3497.810000,14405.400000,6.026054,1241.452173
62,1565957,1574745,1575511,0.760000,0.000453,4201,-5.873271,3507.310000,14500.800000,10.216161,1514.760951
63,1575511,1585038,1585733,0.700000,0.000530,1882,-7.039799,3517.600000,14603.500000,0.001322,1193.286990
64,1585733,1594445,1595038,0.590000,0.000440,4709,-5.775768,3527.010000,14696.900000,3.128213,1423.574589
65,1595038,1604452,1605209,0.760000,0.000465,4246,-6.180335,3537.010000,14796.900000,0.764823,1157.492770
